Firm Name,Website,Practice Areas,Attorney Count,Notes,Outreach Status,Needs Research
"ABELLA LAW FIRM, LLC",www.abellalaw.com,"Criminal Defense, DUI/DWI",1,"Solo practitioner (Gregory J. Abella). Criminal defense focus only with DUI/DWI specialization. Not a fit for CaseDelta ICP (criminal-only focus, solo). Spanish-speaking team available.",Not Started,
"ADAM & MCGREVEY, PA",www.adammcgrevey.com,"Medical Malpractice, Commercial General Liability Defense, Construction Litigation, Employment Law",4,"4 attorneys reported. Focuses on civil litigation defense (medical malpractice, construction, employment). Some document-heavy practices (construction), but limited family/estate law focus.",Not Started,
"ADAMS CROSS, LLC",www.olathelaw.com,"Personal Injury, Medical Malpractice, Bankruptcy, Workers Compensation, Auto Accidents",3,"3 attorneys reported. Bankruptcy + personal injury mix. Good document volume (bankruptcy discovery), but not primary CaseDelta ICP (family law/estate). Virtual consultations available.",Not Started,
"ADLER & MANSON, LC",www.adlerandmanson.com,"Personal Injury, Negligence, Accident Claims",2,2 attorneys reported. Personal injury focus with 70+ years combined experience and $95M+ recovered. NOT family law or estate planning despite initial research query. Low fit for CaseDelta.,Not Started,
"ALBANO, RICHART, WELCH & BAJACKSON, LLC",www.arwblegal.com,"Family Law, Criminal Law, Divorce, Child Custody, Paternity, Adoption",3,"3 attorneys reported. EXCELLENT ICP FIT: family law focus (divorce, custody, paternity, adoption). Established 1965. Document-intensive practice. Active in Jackson County area.",Not Started,
ALLEN LAW,www.liberty-law.com,"Family Law, Divorce, Child Custody, Adoption, Estate Planning, Wills, Criminal Law, Corporate/Business",2,"2 attorneys reported. EXCELLENT ICP FIT: primary focus on family law (divorce, custody, support, adoption) with estate planning. Solo practitioner Mark Allen established 1991. Document-intensive work. Liberty, MO location.",Not Started,
"ANDERECK EVANS, LLC",www.lawofficemo.com,"Litigation, Insurance Defense, Corporate Law, Workers Compensation, Personal Injury, Utility Law",4,"4 attorneys reported (Andereck, Evans, Widger, Johnson, Lewis firm). Multi-state (MO+KS). Litigation + corporate backbone. Insurance defense focus. Not ideal for CaseDelta (no family/estate specialization).",Not Started,
"ANDERSON & PRICE, PC",www.kansascitymolawoffices.com,"Family Law, Divorce, Immigration, Personal Injury, Traffic Law, Wills, Trusts, Probate",3,"3 attorneys reported. GOOD FIT: Strong family law + estate planning (wills, trusts, probate). Also immigration + personal injury. Licensed MO+KS. Document-intensive practice areas.",Not Started,
ANKERHOLZ & SMITH,www.ankerholzsmith.com,"Family Law, Divorce, Child Custody, Personal Injury, Workers Compensation, Social Security Disability",2,"2 attorneys (Rian F. Ankerholz, Daniel L. Smith). GOOD FIT: Family law emphasis (divorce, custody, support, prenups). Also personal injury + SSD. Licensed MO+KS. Overland Park location.",Not Started,
"BOGGS LAW FIRM, LLC",,"Family Law, Real Estate, Estate Planning, Criminal Defense, Personal Injury",9,"9 attorneys reported. GOOD FIT: Diverse practice including family law, estate planning, real estate. Founded 1988, formalized as LLC 2007. Led by James D. Boggs (former MOATA president). Kansas City location. Document-intensive work.",Not Started,
"BOLOGNA & BLAIR, LLC",,"Criminal Defense, DUI/DWI, Traffic Law, Personal Injury, Wrongful Death, Auto Accidents",8,"8 attorneys reported. 25+ years experience. Criminal/DUI focus with personal injury secondary. NOT ideal for CaseDelta (criminal-heavy, personal injury). Liberty/Kansas City area.",Not Started,
"BOND, SCHOENECK & KING, PLLC",,"Agribusiness, Commercial Lending, Real Estate Development, Construction, Energy, Healthcare, Manufacturing, Higher Education, Collegiate Sports",12,"12 attorneys in KC. LARGE firm (300+ lawyers nationally) with Kansas City office. Overland Park location. Focus on corporate, commercial, agribusiness. NOT ideal for CaseDelta (no family law, estate, or litigation). High-barrier BigLaw model.",Not Started,
BOOTHE WALSH LAW & MEDIATION,,"Family Law, Divorce, Mediation, Domestic Relations",7,"Specialized family law firm with mediation services in Johnson County, Kansas. 3 attorneys on Super Lawyers/Rising Stars lists. Strong fit for CaseDelta family law segment.",Not Started,
BOULWARE LAW LLC,,"Employment Law, Business Litigation, Personal Injury, Antitrust, Intellectual Property, Wrongful Death",9,"9 attorneys. Full-service litigation firm handling employment discrimination, business disputes, serious injury cases. Brandon Boulware on Super Lawyers. Good fit for litigation document analysis.",Not Started,
