Firm Name,Address,Phone,Fax,Website,Key Contacts,Attorney Count (Est.),ICP Score (1-5),Practice Areas,Firm Size Bucket,ICP Notes,Outreach Status,Last Contact,Next Follow-up,Notes
"ABELLA LAW FIRM, LLC","221 E. 11th St., Kansas City, MO 64106",(816) 421-7755,www.abellalaw.com,1,"Criminal Defense, DUI/DWI",1,high,"Solo practitioner (Gregory J. Abella). Criminal defense focus only with DUI/DWI specialization. Not a fit for CaseDelta ICP (criminal-only focus, solo). Spanish-speaking team available.",,,Not Started,,,
"ADAM & MCGREVEY, PA","10851 Mastin St Ste 1055, Overland Park, KS 66210",(913) 647-0670,www.adammcgrevey.com,3,"Medical Malpractice, Commercial General Liability Defense, Construction Litigation, Employment Law",4,high,"4 attorneys reported. Focuses on civil litigation defense (medical malpractice, construction, employment). Some document-heavy practices (construction), but limited family/estate law focus.",,,Not Started,,,
"ADAMS CROSS, LLC","303 E. Poplar, Olathe, KS 66061",(913) 782-5500,www.olathelaw.com,3,"Personal Injury, Medical Malpractice, Bankruptcy, Workers Compensation, Auto Accidents",3,high,"3 attorneys reported. Bankruptcy + personal injury mix. Good document volume (bankruptcy discovery), but not primary CaseDelta ICP (family law/estate). Virtual consultations available.",,,Not Started,,,
"ADLER & MANSON, LC","9233 Ward Pkwy., Ste. 240, Kansas City, MO 64114-3360",(816) 333-0400,www.adlerandmanson.com,2,"Personal Injury, Negligence, Accident Claims",2,high,2 attorneys reported. Personal injury focus with 70+ years combined experience and $95M+ recovered. NOT family law or estate planning despite initial research query. Low fit for CaseDelta.,,,Not Started,,,
"ALBANO, RICHART, WELCH & BAJACKSON, LLC","Law Building, 311 W. Kansas, Independence, MO 64050-3715",(816) 836-8000,www.arwblegal.com,5,"Family Law, Criminal Law, Divorce, Child Custody, Paternity, Adoption",3,high,"3 attorneys reported. EXCELLENT ICP FIT: family law focus (divorce, custody, paternity, adoption). Established 1965. Document-intensive practice. Active in Jackson County area.",,,Not Started,,,
ALLEN LAW,"12A Westwoods Dr., Liberty, MO 64068",(816) 781-5905,www.liberty-law.com,5,"Family Law, Divorce, Child Custody, Adoption, Estate Planning, Wills, Criminal Law, Corporate/Business",2,high,"2 attorneys reported. EXCELLENT ICP FIT: primary focus on family law (divorce, custody, support, adoption) with estate planning. Solo practitioner Mark Allen established 1991. Document-intensive work. Liberty, MO location.",,,Not Started,,,
"ANDERECK EVANS, LLC","119 E. Main St., P.O. Box 654, Smithville, MO 64089",(816) 532-3899,www.lawofficemo.com,3,"Litigation, Insurance Defense, Corporate Law, Workers Compensation, Personal Injury, Utility Law",4,high,"4 attorneys reported (Andereck, Evans, Widger, Johnson, Lewis firm). Multi-state (MO+KS). Litigation + corporate backbone. Insurance defense focus. Not ideal for CaseDelta (no family/estate specialization).",,,Not Started,,,
"ANDERSON & PRICE, PC","4218 Roanoke Rd., Ste. 305, Kansas City, MO 64111",(816) 753-5900,www.kansascitymolawoffices.com,4,"Family Law, Divorce, Immigration, Personal Injury, Traffic Law, Wills, Trusts, Probate",3,high,"3 attorneys reported. GOOD FIT: Strong family law + estate planning (wills, trusts, probate). Also immigration + personal injury. Licensed MO+KS. Document-intensive practice areas.",,,Not Started,,,
ANKERHOLZ & SMITH,"6900 College Blvd., Ste. 510, Overland Park, KS 66211",(913) 345-2000,www.ankerholzsmith.com,4,"Family Law, Divorce, Child Custody, Personal Injury, Workers Compensation, Social Security Disability",2,high,"2 attorneys (Rian F. Ankerholz, Daniel L. Smith). GOOD FIT: Family law emphasis (divorce, custody, support, prenups). Also personal injury + SSD. Licensed MO+KS. Overland Park location.",,,Not Started,,,
"BOGGS LAW FIRM, LLC",,,,4,"Family Law, Real Estate, Estate Planning, Criminal Defense, Personal Injury",9,high,"9 attorneys reported. GOOD FIT: Diverse practice including family law, estate planning, real estate. Founded 1988, formalized as LLC 2007. Led by James D. Boggs (former MOATA president). Kansas City location. Document-intensive work.",,,Not Started,,,
"BOLOGNA & BLAIR, LLC",,,,2,"Criminal Defense, DUI/DWI, Traffic Law, Personal Injury, Wrongful Death, Auto Accidents",8,high,"8 attorneys reported. 25+ years experience. Criminal/DUI focus with personal injury secondary. NOT ideal for CaseDelta (criminal-heavy, personal injury). Liberty/Kansas City area.",,,Not Started,,,
"BOLOGNA & BLAIR, LLC (duplicate)",,,www.bolognablair.com,2,"Criminal Defense, DUI/DWI, Traffic Law, Personal Injury, Wrongful Death, Auto Accidents",5-10,high,"Duplicate entry. See line 20 for full details. Criminal-heavy practice, not ideal for CaseDelta.",,,Not Started,,,
"BOND, SCHOENECK & KING, PLLC",,,,2,"Agribusiness, Commercial Lending, Real Estate Development, Construction, Energy, Healthcare, Manufacturing, Higher Education, Collegiate Sports",12,high,"12 attorneys in KC. LARGE firm (300+ lawyers nationally) with Kansas City office. Overland Park location. Focus on corporate, commercial, agribusiness. NOT ideal for CaseDelta (no family law, estate, or litigation). High-barrier BigLaw model.",,,Not Started,,,
"BOND, SCHOENECK & KING, PLLC (duplicate)",,,www.bsk.com,2,"Agribusiness, Commercial Lending, Real Estate Development, Construction, Energy, Healthcare, Manufacturing, Higher Education, Collegiate Sports",10+,high,"Duplicate entry. See line 23 for full details. Large national firm, not ideal ICP fit.",,,Not Started,,,
BOOTHE WALSH LAW & MEDIATION,,,,5,"Family Law, Divorce, Mediation, Domestic Relations",7,high,"Specialized family law firm with mediation services in Johnson County, Kansas. 3 attorneys on Super Lawyers/Rising Stars lists. Strong fit for CaseDelta family law segment.",,,Not Started,,,
BOULWARE LAW LLC,,,,4,"Employment Law, Business Litigation, Personal Injury, Antitrust, Intellectual Property, Wrongful Death",9,high,"9 attorneys. Full-service litigation firm handling employment discrimination, business disputes, serious injury cases. Brandon Boulware on Super Lawyers. Good fit for litigation document analysis.",,,Not Started,,,
"BOYD, KENTER, THOMAS & PARRISH LLC",,,,4,"Workers' Compensation, Labor Law, Personal Injury, Civil Litigation, Products Liability",29,high,"13 attorneys founded 1983, Kansas City area offices. Strong in workers' comp and civil litigation. Multiple Super Lawyers selections. Good document analysis fit.",,,Not Started,,,
"BROWN & CROUPPEN, P.C.",,,,4,"Personal Injury, Medical Malpractice, Civil Litigation, Wrongful Death, Product Liability, Workers' Compensation",8,high,50+ attorneys across 9 offices in Kansas City and St. Louis. Recovered over $1 billion for clients. Strong litigation focus. Excellent document analysis potential.,,,Not Started,,,
"CHINNERY EVANS & NAIL, P.C.",,,https://www.chinnery.com,5,"Estate Planning, Business Law, Real Estate, Probate, Trust Administration, Litigation, Elder Law, Bankruptcy",5-10,high,"Lee's Summit, MO. 9 attorneys with 125+ combined years experience. Strong in estate planning and probate. Excellent fit for estate planning segment of CaseDelta ICP.",,,Not Started,,,
"CHIONUMA LAW FIRM, LLC","3100 Broadway Blvd., Ste. 602, Kansas City, MO 64111",(816) 421-5544,www.chionuma.com,3,"Personal Injury, Workers' Compensation, Medical Malpractice, Product Liability, DUI/DWI",1,high,"Solo practice (Chuck Chionuma, Super Lawyers 2023-2025). Strong personal injury focus. Limited firm size for CaseDelta target, but high specialization.",,,Not Started,,,
"CHRISTIANSEN, JOHN ADAMS, LAW OFFICE OF, L.C.","4310 Madison Ave., Kansas City, MO 64111",(816) 416-7070,www.johnadamschristiansenlawoffice.com,2,"Workers' Compensation, Personal Injury, Employment Discrimination, Family Law, Municipal Court, Appellate Law",1,high,Solo practitioner with 20+ years experience. Multiple practice areas. Solo firm size limits CaseDelta fit despite legal diversity.,,,Not Started,,,
